车次号,聚类结果
D3273,1
D3274,2
D3289,1
D3290,1
D3291,2
D3292,2
D3295,2
D3296,2
D3301,1
D3302,1
D3305,1
D3307,2
D3308,2
D3309,1
D3310,1
D3311,1
D3312,1
D3313,1
D3314,1
D3315,1
D3316,1
D3318,1
D3319,1
D3323,1
D3324,1
D3333,1
D3334,1
D3336,1
D3337,1
D3338,1
D3339,1
D3340,1
D3343,1
D3344,1
D3349,2
D3356,2
D35,3
D351,1
D352,2
D353,2
D354,2
D3564,1
D3567,1
D3575,2
D3576,2
D36,3
D361,1
D362,1
D366,2
D367,2
D368,2
D37,3
D377,2
D378,2
D38,3
D381,1
D382,1
D3904,1
D3934,2
D3941,2
D3942,2
D3946,2
D3949,1
D3961,2
D3967,2
D3968,2
D4,3
D4105,1
D4106,1
D4107,2
D4108,1
D43,3
D44,3
D49,3
D5,3
D50,3
D502,1
D503,1
D506,1
D507,1
D5109,1
D5110,1
D5111,1
D5117,1
D5119,1
D5410,1
D5414,1
D5418,1
D5433,1
D5434,1
D5438,1
D5442,1
D5443,1
D5449,1
D5452,1
D5461,1
D5465,1
D5468,1
D5471,1
D5487,1
D5491,1
D5494,1
D5495,1
D5498,1
D5515,1
D5516,1
D5526,1
D5533,1
D5562,1
D5565,1
D5566,1
D561,1
D5610,1
D5615,1
D562,1
D5644,1
D565,1
D566,1
D5662,1
D5663,1
D575,2
D576,2
D59,3
D6,3
D60,3
D6001,1
D6002,1
D6005,1
D6006,1
D6010,1
D6015,1
D6016,1
D6017,1
D6018,1
D6023,1
D6025,1
D6026,1
D6028,1
D6035,1
D6038,1
D618,2
D619,2
D6191,1
D6192,1
D6195,1
D6196,1
D6197,1
D620,1
D6202,1
D6203,1
D6204,1
D6212,1
D6214,1
D6218,1
D6219,1
D6221,1
D6224,1
D6228,1
D6229,1
D6231,1
D6241,1
D6242,1
D629,1
D6291,1
D6292,1
D630,1
D631,2
D6312,1
D6315,1
D6316,1
D6318,1
D632,2
D6329,1
D633,2
D6333,1
D6335,1
D6338,1
D635,1
D636,2
D637,2
D638,2
D6381,1
D6382,1
D6407,1
D6409,1
D6415,1
D6422,1
D6423,1
D6425,1
D6438,1
D6440,1
D6442,1
D6448,1
D6501,1
D6502,1
D6504,1
D6505,1
D6507,1
D6508,1
D6510,1
D6522,1
D6525,1
D6528,1
D6529,1
D6531,1
D6534,1
D6551,1
D656,2
D6563,1
D6564,1
D657,2
D6575,1
D658,2
D6591,1
D6592,1
D663,1
D664,1
D667,1
D668,1
D671,1
D681,1
D686,1
D696,1
D7585,1
D7586,1
D7587,1
D7588,1
D7589,1
D7590,1
D7591,1
D7592,1
D7593,1
D7594,1
D7595,1
D7596,1
D7597,1
D7598,1
D7731,1
D7733,1
D7737,1
D7741,1
D7743,1
D7747,1
D7749,1
D7751,1
D7755,1
D7757,1
D8161,1
D8162,1
D8185,1
D8186,1
D8202,1
D8203,1
D8214,1
D8253,1
D8263,1
D8267,1
D8268,1
D8271,1
D8272,1
D8280,1
D8292,1
D8404,1
D8405,1
D8407,1
D8410,1
D8411,1
D8412,1
D8470,1
D89,3
D8931,1
D8933,1
D8934,1
D8935,1
D8937,1
D8938,1
D8939,1
D8941,1
D8943,1
D8945,1
D8946,1
D8953,1
D8954,1
D9,3
D90,3
D91,1
D92,3
D93,3
D94,3
D95,3
D951,1
D952,3
D953,3
D954,3
D955,1
D956,2
D957,1
D958,2
D9581,1
D9582,1
D96,3
D9618,1
D9619,1
D9697,1
D9699,1
